Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Conductivity,pH,Label
25.5,12.2,25.5,56.5,26.5,0.3,6.3,Alluvial Soil
49.5,12.3,49.5,80.5,31.5,0.36,6.6,Alluvial Soil
26.5,12.4,25.5,57.5,27.5,0.31,6.8,Alluvial Soil
48.5,12.5,50.5,81.5,32.5,0.37,6.7,Alluvial Soil
27.5,12.6,25.5,58.5,28.5,0.32,6,Alluvial Soil
46.5,12.7,51.5,82.5,33.5,0.38,6.2,Alluvial Soil
28.5,12.8,28.5,59.5,29.5,0.33,6.1,Alluvial Soil
52.5,12.9,52.5,83.5,34.5,0.39,6.3,Alluvial Soil
29.5,12.1,29.5,60.5,30.5,0.34,6.4,Alluvial Soil
53.5,12.2,53.5,84.5,35.5,0.4,6.5,Alluvial Soil
30.5,12.3,30.5,61.5,31.5,0.35,6.6,Alluvial Soil
44.5,12.4,54.5,85.5,36.5,0.41,6.7,Alluvial Soil
31.5,12.5,31.5,62.5,32.5,0.36,6.8,Alluvial Soil
44.5,12.6,55.5,86.5,37.5,0.42,6,Alluvial Soil
32.5,12.7,32.5,63.5,33.5,0.37,6.1,Alluvial Soil
46.5,12.8,55.5,87.5,38.5,0.38,6.2,Alluvial Soil
33.5,12.9,33.5,64.5,39.5,0.39,6.3,Alluvial Soil
47.5,12.1,55.5,68.5,40.5,0.4,6.5,Alluvial Soil
34.5,12.2,34.5,65.5,41.5,0.41,6.6,Alluvial Soil
47.5,12.3,58.5,79.5,42.5,0.42,6.7,Alluvial Soil
21,12.1,21,52,21,0.25,5.6,Alluvial Soil
45,12.2,45,76,27,0.31,6.1,Alluvial Soil
21.5,12.3,21.5,52.5,22.5,0.26,5.7,Alluvial Soil
42.5,12.4,42.5,74.5,26.5,0.32,6,Alluvial Soil
22,12.5,22,53,23,0.27,5.8,Alluvial Soil
46,12.6,45,77,28,0.33,6.2,Alluvial Soil
22.5,12.7,22.5,53.5,23.5,0.28,5.9,Alluvial Soil
47.5,12.8,45.5,78.5,29.5,0.34,6.3,Alluvial Soil
23,12.9,23,54,24,0.29,6.5,Alluvial Soil
48,12.1,48,79,30,0.35,6.1,Alluvial Soil
23.5,12.2,23.5,54.5,24.5,0.3,6.3,Alluvial Soil
49.5,12.3,49.5,79.5,30.5,0.36,6.6,Alluvial Soil
24,12.4,24,55,25,0.31,6.8,Alluvial Soil
48,12.5,50,80,31,0.37,6.7,Alluvial Soil
24.5,12.6,24.5,55.5,25.5,0.32,6,Alluvial Soil
46.5,12.7,51.5,81.5,31.5,0.38,6.2,Alluvial Soil
25,12.8,25,56,26,0.33,6.1,Alluvial Soil
52,12.9,52,82,32,0.34,6,Alluvial Soil
25.5,12.1,25.5,56.5,26.5,0.35,6.3,Alluvial Soil
53.5,12.2,53.5,83.5,33.5,0.36,6.2,Alluvial Soil
26,12.3,25,57,27,0.37,6.5,Alluvial Soil
44,12.4,54,84,34,0.38,6.4,Alluvial Soil
26.5,12.5,25.5,57.5,27.5,0.39,6.7,Alluvial Soil
44.5,12.6,55.5,85.5,35.5,0.4,6.6,Alluvial Soil
27,12.7,25,58,28,0.41,6.9,Alluvial Soil
46,12.8,55,86,36,0.42,6.8,Alluvial Soil
27.5,12.9,25.5,58.5,28.5,0.43,7,Alluvial Soil
47.5,12.1,55.5,77.5,37.5,0.44,7.1,Alluvial Soil
28,12.2,28,59,29,0.45,7.1,Alluvial Soil
35,14.8,26.6,60,30,0.46,6.9,Alluvial Soil
29,12.3,29,60,30,0.46,7.1,Alluvial Soil
2,2,2,20.5,49.5,2,8.5,Desert Soil
0.4,0.4,0.4,10,15,0.5,7.5,Desert Soil
0.6,0.7,1.2,20.5,30,0.8,7.2,Desert Soil
1,0.5,1.8,25.5,40.5,1.5,7.1,Desert Soil
1.5,1.2,1,12.5,20,1,7.4,Desert Soil
1.2,0.8,1.5,15.5,25.5,0.7,7.3,Desert Soil
0.8,0.6,1.4,18,35,1.2,7.2,Desert Soil
1.7,1.7,1.7,17,28,1.3,7,Desert Soil
1.1,0.9,1.1,27.5,45,1.1,7.3,Desert Soil
1.3,1.3,1.3,14,18,0.9,7.1,Desert Soil
1.4,1,1.6,22,22.5,0.6,7.4,Desert Soil
0.9,0.7,1.3,13.5,19.5,0.7,7.2,Desert Soil
0.7,0.8,1.6,11.5,17.5,0.6,7.4,Desert Soil
1.6,1.1,1,19.5,23.5,1.1,7.1,Desert Soil
1,1.3,1.7,12,28.5,1.2,7.2,Desert Soil
1.8,0.9,1.4,16.5,33.5,1,7.3,Desert Soil
0.5,0.6,1.2,28,45.5,0.8,7.3,Desert Soil
1.1,0.7,1.1,17.5,22,0.9,7.4,Desert Soil
1.4,1.6,1.5,15,26,1.3,7,Desert Soil
0.8,1,1.3,14.5,29,0.7,7.1,Desert Soil
1.2,0.5,1.8,20,38.5,1.5,7.2,Desert Soil
1.5,1.2,1.4,13,21.5,0.6,7.5,Desert Soil
1.2,1.1,1.3,16.5,25,1.1,7.3,Desert Soil
0.6,1.7,0.9,11,17,0.7,7.2,Desert Soil
1.5,1.4,1.7,27,44,1.2,7.4,Desert Soil
1,0.5,1.1,18.5,34,0.9,7.1,Desert Soil
1.8,0.7,1.4,19,18.5,0.5,7,Desert Soil
1.3,1.3,1.3,14,33,1.1,7.3,Desert Soil
0.9,0.6,1.2,22.5,26.5,0.8,7.2,Desert Soil
1.1,0.9,1.6,13.5,21,0.6,7.5,Desert Soil
1.7,0.8,1.5,10.5,16,0.5,7.4,Desert Soil
1.4,1,1.5,12,23,0.7,7.1,Desert Soil
0.8,1.2,1.3,25,29.5,1.3,7.2,Desert Soil
1.5,1.6,1.6,14.5,40,1.4,7.3,Desert Soil
0.7,1.4,0.7,21.5,37.5,0.6,7.4,Desert Soil
1.6,0.6,1.1,11.5,20.5,0.7,7.3,Desert Soil
1.3,0.5,1.7,26.5,42.5,1,7,Desert Soil
0.5,1.5,0.8,15.5,31,0.9,7.2,Desert Soil
1.1,1.7,1.4,17,24.5,0.8,7.1,Desert Soil
1.4,0.8,1.2,20,32,1.2,7.2,Desert Soil
0.9,1.3,1.3,12.5,27.5,1.1,7.3,Desert Soil
1.2,1.1,1.6,23,36,0.6,7.5,Desert Soil
1.2,0.7,1,19,25.5,1.2,7.1,Desert Soil
0.6,1.1,1.6,17.5,21,0.7,7.4,Desert Soil
1,1.2,1.2,16,30.5,1,7.3,Desert Soil
1.5,0.9,1.1,24.5,38,0.9,7.2,Desert Soil
0.8,1.5,1.4,18.5,35.5,1.1,7,Desert Soil
1.3,0.6,1.6,13,22,0.8,7.1,Desert Soil
1.1,1.3,1.3,12.5,28,1.5,7.2,Desert Soil
0.7,0.8,1,26,45,0.6,7.3,Desert Soil
1.4,1.4,1.4,21.5,32.5,1.3,7.2,Desert Soil
0.9,0.5,1.7,15.5,29.5,0.5,7.4,Desert Soil
1.6,1.7,1.5,27,40.5,1.4,7.3,Desert Soil
0.5,1.2,0.9,11.5,19,0.9,7.1,Desert Soil
1.1,1.1,1.7,22,36.5,1.2,7.2,Desert Soil
1.7,0.9,1.4,14,27,0.7,7.5,Desert Soil
1.4,1.5,1.3,23.5,33,0.8,7,Desert Soil
0.8,0.7,1.1,10.5,18.5,1,7.1,Desert Soil
1.3,1,1.5,20,31.5,1.1,7.2,Desert Soil
0.6,0.5,1.3,19.5,24,0.7,7.4,Desert Soil
1,1.6,1,12,26.5,0.6,7.3,Desert Soil
1.5,0.8,1.2,16.5,37,1.4,7.2,Desert Soil
1.3,1.2,1.1,11,20,0.6,7.3,Desert Soil
0.7,0.5,1.7,21,34,1.1,7.4,Desert Soil
1.6,1.1,1.5,14.5,23.5,1.3,7.1,Desert Soil
1,0.8,1.2,15,27,0.9,7,Desert Soil
1.5,0.7,1.3,27.5,42.5,1.4,7.4,Desert Soil
0.8,1.3,1,12,26,0.8,7.2,Desert Soil
1.4,1,1.7,24,31,1.2,7.3,Desert Soil
1.1,0.9,1.4,13.5,19.5,0.7,7.1,Desert Soil
0.6,1.5,1.6,18,32.5,0.6,7.5,Desert Soil
1.2,1.4,1.6,16,24,1.5,7.2,Desert Soil
0.5,0.7,0.9,17,22.5,0.5,7,Desert Soil
1.7,1.3,1.3,19.5,29,0.7,7.3,Desert Soil
0.9,0.6,1.4,15.5,28.5,1.1,7.2,Desert Soil
1.6,0.8,1.1,23,33.5,0.8,7.4,Desert Soil
1.3,0.5,1.2,20.5,39,0.9,7.1,Desert Soil
1,1.1,1.4,10.5,21.5,1,7.2,Desert Soil
1.5,1.7,1.5,21.5,36.5,1.3,7.5,Desert Soil
0.7,0.8,1.3,13,25,1.2,7,Desert Soil
1.4,1.6,1,18.5,30,0.7,7.1,Desert Soil
0.8,0.9,1.7,26.5,41,0.6,7.2,Desert Soil
1,1.4,1,15,27,0.6,7,Desert Soil
1.5,0.6,1.3,23.5,38.5,1,7.2,Desert Soil
0.7,1.1,1.7,21,29,1.4,7.3,Desert Soil
1.6,0.8,1.2,13.5,22.5,0.9,7.4,Desert Soil
1.2,1.3,1.5,12,21,0.8,7.1,Desert Soil
0.5,1,0.9,17.5,36,1.1,7.3,Desert Soil
1.3,1.5,1.6,20,25.5,1.5,7.2,Desert Soil
0.9,0.7,1.4,18.5,30.5,1.2,7,Desert Soil
1.4,0.9,1.3,26,45,1.3,7.4,Desert Soil
1.1,0.5,1.6,19.5,35,0.7,7.2,Desert Soil
0.6,1.7,1.1,16,23.5,0.6,7.5,Desert Soil
1.2,0.6,1,27.5,31,1.1,7.1,Desert Soil
1.7,1.3,1.4,14,32.5,0.5,7.4,Desert Soil
1.4,0.8,1.7,17,27.5,1,7.3,Desert Soil
0.8,1.2,1.5,15.5,26,0.5,7,Desert Soil
1.5,1.2,1.3,21.5,38,0.9,7.1,Desert Soil
0.7,0.9,1.4,12.5,33.5,0.8,7.2,Desert Soil
1.6,1.1,1.6,13,19,1.2,7.3,Desert Soil
1,0.7,1.2,24,37,0.6,7.1,Desert Soil
1.3,1,1,10.5,20.5,0.7,7.3,Desert Soil
1.2,1,1.5,11.5,28.5,1.3,7,Desert Soil
0.6,0.7,1.2,17,31.5,1.1,7.4,Desert Soil
1.4,0.5,1.1,14.5,23,0.6,7.2,Desert Soil
0.9,1.3,1.7,25,37.5,1.4,7.3,Desert Soil
1.7,1.6,1.3,19,34,1.2,7.1,Desert Soil
1.1,0.8,1.4,18,27,0.8,7.5,Desert Soil
1.6,0.5,1.3,12,21.5,0.9,7,Desert Soil
0.8,1.4,1.6,21,29.5,0.7,7.2,Desert Soil
1.3,1.1,1,20.5,25,1,7.3,Desert Soil
0.5,0.6,1.7,15,22,1.5,7.4,Desert Soil
1,0.9,1.2,15.5,38,0.9,7.2,Desert Soil
1.5,1.6,1.1,16.5,32,0.5,7.3,Desert Soil
0.7,0.6,1.5,13,24.5,1.2,7,Desert Soil
1.2,0.8,1.1,22.5,45.5,1.3,7.1,Desert Soil
1.4,1.5,1.4,10.5,19.5,1.4,7.4,Desert Soil
0.6,1.1,1,27,33.5,0.6,7.3,Desert Soil
1.1,1.2,1.7,24,36.5,1.1,7.5,Desert Soil
0.9,0.7,1.4,17.5,26,0.7,7.1,Desert Soil
1.7,0.9,1.3,23.5,29,0.5,7,Desert Soil
1.3,1,1.5,14,21,1.4,7.3,Desert Soil
0.5,1.2,1.3,19.5,24,0.8,7.2,Desert Soil
1,1.3,1.6,12.5,18.5,1.3,7.4,Desert Soil
1.6,0.8,1,20,30,0.9,7.1,Desert Soil
0.7,1.6,1.7,16,28,0.7,7.2,Desert Soil
1.5,0.6,1.2,18.5,25.5,0.6,7.5,Desert Soil
1.2,1,1.5,16,35,1.2,7.3,Desert Soil
0.8,0.7,1.4,18,32.5,1,7.1,Desert Soil
1.4,0.5,1.1,27.5,42,0.8,7.2,Desert Soil
0.9,1.4,1.6,15.5,23.5,0.7,7.4,Desert Soil
1.7,1.3,1,11,22,1.1,7,Desert Soil
1.1,1.2,1.3,15,24.5,0.6,7.4,Desert Soil
0.7,0.9,1.5,16.5,28.5,1.2,7.2,Desert Soil
1.3,1.1,1.4,18,34,0.7,7,Desert Soil
0.8,0.6,1,19,30.5,0.5,7.5,Desert Soil
1.4,0.7,1.1,13,23,0.9,7,Desert Soil
1,1,1.3,22.5,39.5,1.4,7.1,Desert Soil
0.6,0.8,1.2,12.5,37,0.6,7.2,Desert Soil
1.2,0.5,1.6,24,42.5,1,7.4,Desert Soil
1.5,1.3,1.7,14.5,21,0.8,7.1,Desert Soil
0.9,1.6,1.2,27,33.5,1.3,7.3,Desert Soil
1.7,0.9,1.4,16,26,0.7,7.4,Desert Soil
1.1,1,1.1,21,35,0.5,7,Desert Soil
0.5,1.4,1.5,17,31.5,1.1,7.2,Desert Soil
1.3,0.7,1.3,10.5,20.5,1.5,7.3,Desert Soil
0.8,1.5,1.7,26.5,24,1.4,7.4,Desert Soil
1.4,1.6,1,20,43,0.9,7.1,Desert Soil
0.6,1.2,1.5,15.5,29,0.8,7.5,Desert Soil
1.2,0.6,1.4,18.5,36,0.7,7.1,Desert Soil
1,0.7,1.7,12,25.5,1.2,7,Desert Soil
1.5,1.1,1.3,19.5,38.5,1,7.2,Desert Soil
0.7,0.5,1.6,11.5,22.5,0.5,7.3,Desert Soil
1.3,1.3,1.2,14,27,1.3,7.4,Desert Soil
0.9,1,1.5,22,39,0.6,7.1,Desert Soil
1.7,0.8,1.1,13.5,20,1.1,7.2,Desert Soil
1.1,1.2,1,27.5,41.5,0.7,7.5,Desert Soil
0.5,0.9,1.4,15,32,0.8,7,Desert Soil
1.4,0.6,1.3,17.5,29.5,0.5,7.2,Desert Soil
0.8,1.1,1.7,21,34.5,1,7.3,Desert Soil
1.6,1.3,1.6,16.5,26.5,1.5,7.4,Desert Soil
0.7,0.6,1.1,22.5,35.5,1.2,7.1,Desert Soil
1.3,0.9,1.5,14,21,0.8,7,Desert Soil
0.8,1.4,1.3,13.5,24,1.4,7.3,Desert Soil
1.4,0.7,1.6,17,31,0.9,7.5,Desert Soil
1,1,1.4,12,27,1.3,7.2,Desert Soil
0.6,0.8,1.2,25.5,44.5,1,7.1,Desert Soil
1.2,0.5,1.7,11.5,33,0.6,7.4,Desert Soil
1.5,1.3,1,15,20.5,0.7,7,Desert Soil
0.9,1.6,1.1,26,25,1.5,7.4,Desert Soil
1.7,0.9,1.5,19.5,40.5,1.2,7.1,Desert Soil
1.1,1.1,1.3,16.5,32.5,0.8,7.3,Desert Soil
0.5,0.7,1.4,20,28,0.7,7.5,Desert Soil
1.3,0.6,1,10.5,23.5,1.1,7,Desert Soil
0.8,1.5,1.3,18,26.5,0.5,7.2,Desert Soil
1.4,1.6,1.7,21,36,1,7.3,Desert Soil
0.6,1.2,1.5,27.5,37.5,0.9,7.2,Desert Soil
1.2,0.7,1.4,13,22,0.7,7.3,Desert Soil
1,1.3,1.6,22,39,0.6,7.1,Desert Soil
0.7,1,1.2,17.5,30.5,1.1,7.2,Desert Soil
1.5,0.6,1.7,14.5,29,0.8,7.5,Desert Soil
0.9,1.2,1.1,15.5,37,1.3,7,Desert Soil
1.7,1,1.3,12,24.5,0.5,7.4,Desert Soil
1.1,1.4,1,20.5,38.5,0.7,7.1,Desert Soil
0.5,0.8,1.5,16,31.5,1.4,7.3,Desert Soil
1.3,0.5,1.4,18.5,34,0.9,7,Desert Soil
0.8,1.1,1.7,16,28.5,1.5,7.2,Desert Soil
1.4,1.3,1.2,23.5,35.5,0.6,7.4,Desert Soil
0.6,0.9,1.6,27,43,1.1,7.3,Desert Soil
1.2,1.6,1.3,13.5,20,0.8,7,Desert Soil
0.7,1.1,1,20,26,1.2,7.4,Desert Soil
1.3,0.5,1.4,17,34,0.6,7.3,Desert Soil
0.8,0.9,1.6,13.5,22.5,0.7,7,Desert Soil
1.4,1.6,1.3,15,28.5,0.5,7.2,Desert Soil
1,0.7,1.1,26,37,1.3,7.1,Desert Soil
0.6,1,1.5,14.5,21,0.8,7.5,Desert Soil
1.2,0.6,1.4,19,30.5,1.4,7,Desert Soil
1.5,1.3,1.7,21,38,1.2,7.4,Desert Soil
0.9,1.5,1,16.5,25.5,1.5,7.3,Desert Soil
1.7,0.8,1.2,12,36,0.9,7.1,Desert Soil
1.1,1.2,1.1,17.5,33.5,0.5,7.2,Desert Soil
0.5,1.4,1.3,23,42,0.7,7.5,Desert Soil
1.3,0.7,1.6,10.5,24.5,1.1,7,Desert Soil
0.8,1.1,1.5,18,40.5,1,7.2,Desert Soil
1.4,0.6,1.4,27.5,31.5,0.9,7.4,Desert Soil
0.6,0.5,1.7,11.5,29,0.8,7,Desert Soil
1.2,1.4,1.5,15.5,43,1.4,7.3,Desert Soil
1.5,0.9,1.2,13,22,1,7.1,Desert Soil
0.9,0.8,1.3,19.5,33,0.5,7.3,Desert Soil
1.7,0.5,1.1,20,26.5,1.2,7,Desert Soil
1.1,1.6,1,18.5,30,1.3,7.5,Desert Soil
0.5,1.2,1.4,12,37.5,0.6,7.4,Desert Soil
1.3,0.7,1.5,22.5,44.5,1.1,7,Desert Soil
0.8,1,1.3,17,34,0.7,7.5,Desert Soil
1.4,1.6,1.2,16,31,0.5,7.2,Desert Soil
1,0.7,1.6,26,38.5,1,7.3,Desert Soil
0.6,1,1,14,21,0.6,7.1,Desert Soil
1.2,0.6,1.7,19.5,29,1.4,7,Desert Soil
1.5,1.3,1.4,21,38,1.2,7.4,Desert Soil
0.9,1.5,1,16.5,26,1.5,7.3,Desert Soil
1.7,0.8,1.2,12,35.5,0.9,7.1,Desert Soil
0.6,1,1.6,17.5,28,0.5,7,Desert Soil
1.3,0.5,1.5,20,34,0.8,7.2,Desert Soil
0.8,1.1,1.1,13,31.5,1.3,7.1,Desert Soil
1.4,1.6,1.4,16.5,27,0.6,7.5,Desert Soil
1,0.7,1.3,23,38,1.2,7.3,Desert Soil
0.6,0.6,1,19.5,42.5,1.4,7.4,Desert Soil
1.2,1.5,1.7,12,33,0.9,7,Desert Soil
1.5,1.2,1.2,14.5,22.5,1,7.3,Desert Soil
0.9,0.8,1.4,21,25.5,0.7,7.2,Desert Soil
1.7,0.5,1.5,15,36,1.1,7.4,Desert Soil
1.1,1.4,1.3,27.5,31.5,0.5,7,Desert Soil
0.5,0.7,1.7,10.5,24,1.5,7.2,Desert Soil
1.3,0.9,1,22,39.5,0.7,7.5,Desert Soil
0.8,1.3,1.2,18,30,1.4,7,Desert Soil
1.4,0.6,1.6,16,29,0.5,7.3,Desert Soil
1,0.8,1.3,12,32.5,0.9,7.1,Desert Soil
0.6,1.2,1.1,19.5,37,0.7,7.2,Desert Soil
1.2,1,1.5,18.5,21,1.3,7,Desert Soil
1.5,0.5,1.4,21,44.5,0.6,7.4,Desert Soil
0.9,1.4,1.7,14.5,23.5,1,7.5,Desert Soil
1.7,0.7,1.2,15.5,28.5,1.4,7.3,Desert Soil
1.1,1,1.3,13,38.5,0.8,7.1,Desert Soil
0.5,1.6,1,20,26.5,0.9,7,Desert Soil
1.3,1.1,1.6,27.5,30.5,1.5,7.4,Desert Soil
0.8,0.6,1.5,16.5,32,1.1,7,Desert Soil
1.4,0.8,1.3,12,27,0.7,7.3,Desert Soil
1,1.2,1.4,19.5,40,0.5,7.2,Desert Soil
0.6,0.9,1.1,15,29,1.2,7.4,Desert Soil
1.2,1.5,1.7,18,34,0.8,7.1,Desert Soil
1.5,1.4,1.3,23,36.5,1.3,7.2,Desert Soil
0.9,0.7,1,17,23.5,1,7.5,Desert Soil
1.7,0.5,1.2,26,42.5,0.6,7.1,Desert Soil
1.4,1.2,1,17.5,38,1.2,7.4,Desert Soil
0.7,0.8,1.5,14,31.5,0.8,7.3,Desert Soil
1.3,1.6,1.3,21,25,1.5,7,Desert Soil
0.8,0.7,1.1,12.5,34.5,1.3,7.1,Desert Soil
1.4,0.5,1.4,18,21,0.6,7.2,Desert Soil
1,1.3,1.7,15.5,33,1.4,7.5,Desert Soil
0.6,0.9,1.2,27,28.5,0.5,7,Desert Soil
1.2,0.6,1.6,16.5,36,0.7,7.3,Desert Soil
1.5,1,1,13,22.5,1,7.1,Desert Soil
0.9,1.4,1.5,20,39,0.9,7.4,Desert Soil
1.7,0.7,1.3,19.5,30,0.7,7,Desert Soil
1.1,0.5,1.7,10.5,25.5,0.5,7.2,Desert Soil
0.5,1.2,1.3,22,37,0.8,7.1,Desert Soil
1.3,1.1,1,14.5,44.5,1.1,7.3,Desert Soil
0.8,0.6,1.4,16,29,1,7.4,Desert Soil
1.4,1.6,1.2,23,33.5,0.9,7.2,Desert Soil
0.6,1,1.7,12,31,1.5,7.5,Desert Soil
1.2,1.5,1.4,21,37.5,0.8,7,Desert Soil
1.5,0.9,1.1,19,24,1.3,7.1,Desert Soil
0.9,0.8,1.3,15,42.5,1.2,7.4,Desert Soil
1.7,0.5,1.5,9,23.5,0.7,7.3,Desert Soil
1.1,1.4,1,24.5,30.5,1.4,7,Desert Soil
0.5,0.7,1.6,17.5,35.5,1.1,7.5,Desert Soil
1.3,0.9,1.2,12,27,0.5,7,Desert Soil
0.8,1.3,1.7,22,41,1.5,7.2,Desert Soil
1.4,0.6,1,16.5,36.5,0.6,7.1,Desert Soil
1,0.8,1.5,18,32,0.9,7.3,Desert Soil
0.6,1.2,1.3,27,29,0.7,7.4,Desert Soil
1.2,1,1.4,19.5,35,1.2,7.2,Desert Soil
1.5,0.5,1.7,14,25,0.6,7,Desert Soil
0.9,1.4,1.1,20.5,37.5,1,7.5,Desert Soil
1.7,0.7,1.3,18.5,31,0.8,7.3,Desert Soil
1.1,0.5,1.5,11,22,0.5,7.1,Desert Soil
0.633,1.127,1.019,17.512,38.019,1.215,7.437,Desert Soil
0.717,0.814,1.513,14.073,31.538,0.81,7.381,Desert Soil
1.335,1.609,1.313,20.123,25.045,1.514,7.007,Desert Soil
0.826,0.747,1.106,12.593,34.583,1.352,7.149,Desert Soil
1.488,0.507,1.464,18.028,21.056,0.604,7.287,Desert Soil
1.026,1.31,1.715,15.487,32.925,1.405,7.504,Desert Soil
0.656,0.936,1.205,26.958,28.501,0.586,7.098,Desert Soil
1.217,0.644,1.614,16.528,35.965,0.746,7.353,Desert Soil
1.543,1.04,1.009,13.087,22.525,1.014,7.119,Desert Soil
0.964,1.435,1.528,19.024,39.011,0.9,7.451,Desert Soil
1.752,0.734,1.354,9.057,23.514,0.527,7.312,Desert Soil
1.117,0.506,1.696,21.034,36.481,1.101,7.126,Desert Soil
0.507,1.215,1.303,14.576,30.99,0.797,7.543,Desert Soil
1.311,1.055,1.005,24.05,30.52,1.487,7.258,Desert Soil
0.848,0.648,1.718,12.048,27.007,0.552,7.011,Desert Soil
1.446,0.976,1.42,16.512,42.497,1.044,7.374,Desert Soil
1.023,0.778,1.302,18.056,31.993,0.933,7.333,Desert Soil
0.594,1.212,1.71,9.548,25.5,0.538,7.477,Desert Soil
1.317,0.873,1.133,12.986,34.006,0.571,7.305,Desert Soil
1.14,0.513,1.51,22.5,44.002,1.112,7.002,Desert Soil
0.888,0.676,1.311,14.024,28.014,0.853,7.444,Desert Soil
1.415,1.613,1.154,19.976,23.523,1.113,7.117,Desert Soil
0.687,0.87,1.705,13.49,31.534,0.589,7.264,Desert Soil
1.356,0.585,1.338,20.515,35.041,0.651,7.512,Desert Soil
0.725,1.046,1.683,15.029,21.551,1.198,7.048,Desert Soil
1.283,1.158,1.104,24.981,38.536,1.209,7.217,Desert Soil
0.526,0.622,1.303,12.464,30.029,0.798,7.538,Desert Soil
1.314,0.892,1.002,18.996,32.52,1.448,7.259,Desert Soil
0.822,0.564,1.71,11.045,37.005,0.685,7.032,Desert Soil
1.411,1.48,1.405,16.579,41.499,0.761,7.37,Desert Soil
0.996,1.383,1.012,20.073,36.973,1.102,7.495,Desert Soil
1.734,0.756,1.604,9.588,22.531,0.708,7.307,Desert Soil
1.19,0.536,1.695,22.055,33.02,0.523,7.502,Desert Soil
0.507,1.208,1.326,14.534,29.552,0.824,7.302,Desert Soil
1.309,1.117,1.048,23.055,29.547,1.451,7.228,Desert Soil
0.874,0.663,1.72,12.574,26.085,0.537,7.109,Desert Soil
1.452,0.925,1.448,16.01,42.59,1.036,7.407,Desert Soil
1.034,0.805,1.314,18.024,31.039,0.993,7.332,Desert Soil
0.574,1.218,1.707,9.507,26.504,0.512,7.439,Desert Soil
1.318,0.857,1.136,12.974,33.578,0.518,7.287,Desert Soil
1.146,0.527,1.509,21.545,38.081,0.922,7.123,Desert Soil
0.855,0.698,1.332,14.087,23.566,1.178,7.414,Desert Soil
1.481,1.622,1.149,19.54,21.563,1.168,7.001,Desert Soil
0.669,0.824,1.706,13.027,35.077,0.595,7.267,Desert Soil
1.341,0.552,1.335,20.567,32.545,0.629,7.529,Desert Soil
0.725,1.062,1.667,15.022,20.067,1.125,7.062,Desert Soil
0.6697,1.1234,1.0146,17.4999,38.0098,1.2146,7.4379,Desert Soil
0.7123,0.8145,1.5123,14.0467,31.5246,0.8121,7.3802,Desert Soil
1.3324,1.6089,1.3138,20.1279,25.0412,1.5147,7.0068,Desert Soil
0.8258,0.7469,1.1067,12.5984,34.5856,1.3508,7.1485,Desert Soil
1.4882,0.5074,1.4639,18.0275,21.0523,0.6036,7.2873,Desert Soil
1.0267,1.3107,1.7155,15.4908,32.9231,1.4057,7.5037,Desert Soil
0.6564,0.9368,1.2048,26.9576,28.4987,0.5847,7.0984,Desert Soil
1.2169,0.6443,1.6142,16.5269,35.9604,0.7456,7.3523,Desert Soil
1.5437,1.0402,1.0087,13.0854,22.5236,1.0138,7.1189,Desert Soil
0.9644,1.4345,1.5277,19.0238,39.0072,0.8997,7.4505,Desert Soil
1.7525,0.7345,1.3543,9.0574,23.5129,0.5276,7.3116,Desert Soil
1.1169,0.5058,1.6958,21.0346,36.4803,1.1004,7.1256,Desert Soil
0.5076,1.2156,1.3037,14.5779,30.9884,0.7982,7.5431,Desert Soil
1.3119,1.0553,1.0055,24.0512,30.5197,1.4866,7.2587,Desert Soil
0.8482,0.6477,1.7175,12.0477,27.0063,0.5519,7.0118,Desert Soil
1.4462,0.9766,1.4196,16.5114,42.4967,1.0438,7.3736,Desert Soil
1.0238,0.7777,1.3149,18.0552,31.9927,0.9329,7.3324,Desert Soil
0.5937,1.2121,1.7096,9.5475,25.5004,0.5375,7.4766,Desert Soil
1.3176,0.8726,1.1326,12.9869,34.0059,0.5706,7.3046,Desert Soil
1.1409,0.5139,1.5092,22.5016,44.0013,1.1118,7.0024,Desert Soil
0.8875,0.6759,1.3302,14.0236,28.0149,0.8529,7.4444,Desert Soil
1.4154,1.6134,1.1544,19.9776,23.5224,1.1136,7.1178,Desert Soil
0.6865,0.8694,1.7059,13.4906,31.5348,0.5888,7.2646,Desert Soil
1.3556,0.5848,1.3379,20.5144,35.0416,0.6507,7.5126,Desert Soil
0.7254,1.0627,1.6665,15.0279,20.0676,1.1246,7.0627,Desert Soil
1.2827,1.1587,1.1047,24.9806,38.5366,1.2086,7.2176,Desert Soil
0.5258,0.6214,1.3032,12.4646,30.0299,0.7987,7.5384,Desert Soil
1.3136,0.8925,1.0026,18.9963,32.5206,1.4477,7.2585,Desert Soil
0.8219,0.5648,1.7093,11.0457,37.0057,0.6848,7.0326,Desert Soil
1.4113,1.4796,1.4048,16.5785,41.4985,0.7613,7.3693,Desert Soil
0.9959,1.3824,1.0114,20.0725,36.9738,1.1018,7.4959,Desert Soil
1.7347,0.7568,1.6044,9.5884,22.5317,0.7078,7.3078,Desert Soil
1.1896,0.5366,1.6945,22.0559,33.0203,0.5235,7.5029,Desert Soil
0.5067,1.2089,1.3267,14.5347,29.5526,0.8245,7.3018,Desert Soil
1.3098,1.1164,1.0487,23.0557,29.5473,1.4504,7.2284,Desert Soil
0.8734,0.6634,1.7196,12.5743,26.0858,0.5376,7.1093,Desert Soil
